date,y_true,arima,xgboost,lstm_price,sentiment_only,fusion
2026-06-08,28288.35084665005,27408.370562225704,28300.60386515806,27211.971724705018,26839.062561488805,26530.79394843098
2026-06-09,27315.82700327216,27565.661776692425,27523.17204215425,27441.814034989486,25016.840091320355,27435.94706881102
2026-06-10,27363.82290555821,26782.292318762677,28330.328945233196,27502.376302728884,23528.085818984153,28362.4385769575
2026-06-11,25649.34912222539,25047.408796568172,25697.28982745858,25193.84465482963,24902.697438061623,25425.47188886223
2026-06-12,24765.96928859426,25454.259085040245,25207.9256566658,24799.82899392239,24231.22603058032,26437.19277434426
2026-06-13,25334.04292928747,24698.02817629337,23533.236649012935,26315.641577482736,25537.132343708916,25365.535084790885
2026-06-14,26720.649476693652,26204.06176777206,26333.78155357276,28351.80631271575,23894.71361493586,25952.492960948264
2026-06-15,26392.138490868005,24497.69563308518,24245.179642098745,25842.269683937735,24865.55603466938,26805.48100379201
2026-06-16,28385.955072842324,27149.950853442795,30457.56754759364,29055.04852618992,23999.477823871217,28580.116357049177
2026-06-17,29464.265677935968,27871.872254516813,31078.19613462447,29192.486104179796,29705.118635690458,30054.37065443398
2026-06-18,28921.506049529788,31636.31649141397,29733.513361058904,27846.372219840527,25861.396750662036,28737.137300544437
2026-06-19,28271.921883422503,26439.67769270152,29550.136903392366,29488.81689441865,22974.65299823383,29207.630576541716
2026-06-20,28089.599792388428,26634.967913845205,30421.121672516852,28434.993206384694,30215.625154686768,27660.74890525141
2026-06-21,29861.513841202403,30242.40171600092,30936.619821236905,29959.77388411797,30742.970787581933,29937.88664379504
2026-06-22,29843.683050000644,32015.11770328824,27931.845954409695,30151.53242352911,30432.80658512097,28907.303082550203
2026-06-23,29368.257668367267,27013.19952630382,29090.95503175123,29169.197149497028,29955.90804531189,28760.619759644498
2026-06-24,28463.860708843386,26318.58414926955,25652.508244383203,27392.22180573031,26418.5190704057,28593.541624777652
2026-06-25,26052.06091619244,26332.904557505964,25056.80154578716,27751.96220231285,28013.735929524544,25549.76019991437
2026-06-26,25084.438196546373,25672.92331444267,23582.020258268516,25925.883637889394,23014.855347748486,24734.379295601888
2026-06-27,26314.11831107897,24360.76239253345,26268.89398991305,26531.92367335636,29868.058410244295,26143.002943227777
2026-06-28,27482.252022180226,24969.39916750677,27906.065890647733,28388.0536149814,27833.56170252766,27649.43707530859
2026-06-29,27263.418433180705,25967.92979499492,26132.41986080981,28482.978922277194,23681.319312661937,27808.420469875462
2026-06-30,28179.31663368683,29360.220466475217,27808.783277578037,27943.22703899963,29752.512504400784,28725.87578342386
2026-07-01,29051.60899942422,29085.98222816312,29344.23515302057,29586.519359864145,32723.013372902977,29786.624428385465
2026-07-02,29164.01316147705,30340.985386551136,28941.454096139627,28805.76150732547,28602.965700006673,29296.718172915138
2026-07-03,29770.33852052539,29711.258518039765,29521.75150340357,30361.454797988183,31719.196757323367,29351.06380918513
2026-07-04,28949.68169754524,28997.421936252336,26075.00302217069,28660.011553402663,28469.82879712714,27764.0123372962
2026-07-05,27462.54972389577,28447.745142661697,26903.486287853444,29807.32941161249,26192.837723058423,27188.807007530275
2026-07-06,26658.761050407316,26581.589748738148,27554.388799925113,26268.21877305945,21676.60697747198,26054.797220580604
2026-07-07,26798.268184643377,27234.584836886963,27063.353274072557,27263.09021372662,29070.8421631353,25442.99407671528
2026-07-08,26643.532798118973,25415.59068423099,24854.447435379,27056.785271234774,25721.390179939535,27840.591598686697
2026-07-09,26939.6187556263,26163.170744511368,26577.785344238484,26570.932625927286,27585.591799664504,25566.776782550063
2026-07-10,26743.005591315406,27515.50865133219,27016.47610232842,27619.852174193667,24512.934876283158,26988.272152309502
2026-07-11,27393.45549488081,27138.404891316553,26203.491864244304,27270.940093601406,25591.09209441885,27786.101345745265
2026-07-12,28590.187356913662,27598.8608910285,29344.808786315323,28145.838702153153,30638.063880763373,28400.534207180135
2026-07-13,30084.14912624322,31129.77333957137,29097.305700846864,30044.902428164238,29274.758420421887,31975.383064674177
2026-07-14,28886.177630298567,29770.51799831555,28454.101717456746,28109.696284929563,28048.849754862025,28884.830530091258
2026-07-15,29435.84127016373,29517.032124699108,29265.417468868745,30567.692713841432,26965.67167335197,28853.876391898353
2026-07-16,28748.663440863504,27739.631348974173,31333.633740306086,29320.509806677685,29073.23225730233,30031.605902778854
2026-07-17,26997.442081497193,28388.90025767264,26576.79332630936,27919.017309408482,28403.470974350355,26390.402654645066
2026-07-18,27465.886619302593,31177.12050596176,26749.640176450805,26101.298788437056,26516.701169108987,26389.731770129158
2026-07-19,28567.319370194826,27466.01739501941,29369.34764935482,28791.902157698172,28137.35233388325,27808.516295734204
2026-07-20,28651.781263028057,26507.186971073006,28053.217298290572,27857.603099462132,26258.027517275797,28161.20627860515
2026-07-21,27904.075616311624,26863.51884172347,28089.309429452933,27947.936206710106,30497.783428300972,27921.355875601603
2026-07-22,28115.026134304724,26851.493760033965,25413.064424128897,29322.689139624996,26866.50452866522,28347.929522102648
2026-07-23,26995.370715897923,25251.30846014308,27303.944026778503,27206.3774717778,26627.546397140064,25854.94839788241
2026-07-24,26962.531684925187,25336.635964538953,26896.495081291316,26749.680409973254,30094.209081828885,27204.765506718097
2026-07-25,27568.10946349358,28885.651062143872,26002.51092614446,28624.928425080605,27065.86368844967,29202.17843897726
2026-07-26,28664.67652394505,29998.969557352495,30222.250529673925,29614.485780852567,25640.899220255622,28120.26771793021
2026-07-27,28626.13650175349,30860.417156437506,28301.32013041498,30396.678510191166,26793.185250139155,28512.33783705847
2026-07-28,28899.02422119286,30068.7933473108,28624.389266481518,27034.934770007192,28146.320929554833,29397.045809415937
2026-07-29,29163.763526785733,28558.500768005284,27569.827770283762,29443.876452694156,32488.155906857723,30038.56855492697
2026-07-30,27975.989690311035,29635.327862406197,26014.45145857163,27527.206952081542,28333.519747643408,27465.637546385624
2026-07-31,26812.884262881475,26012.622619914335,26098.576387290414,25915.284316992103,26316.87022995909,26084.648225013778
